  cc.bel#cc                          no proof found (calls=?)
  cchoist.bel#str                    no proof found (calls=40)
  howe.bel#howe_cong_app             no proof found (calls=611)
  cchoist.bel#strengthen             no proof found (calls=?)
  cchoist.bel#extend                    11 calls  55 chars  -> FAIL   File "input.bel", line 96, column 32 Error: This free context variable is illegal.
  cchoist.bel#weaken                 no proof found (calls=35)
  cc.bel#cc'                         no proof found (calls=?)
  cchoist.bel#lookup                 no proof found (calls=?)
  cchoist.bel#reify                  no proof found (calls=18)
  cchoist.bel#extendEnv              no proof found (calls=103)
  cchoist.bel#append                 no proof found (calls=45)
  cchoist.bel#append_nil             no proof found (calls=31)
  cchoist.bel#lookupVars             no proof found (calls=500)
  cc.bel#lookupVars                  no proof found (calls=500)
  cchoist.bel#hoist_cc               no proof found (calls=?)
  cps.bel#cpse                       no proof found (calls=?)
  cchoist.bel#weakenEnv2             no proof found (calls=160)
  cchoist.bel#hcc                    no proof found (calls=199)
  alg-equal-ctxrel.bel#ref'          no proof found (calls=28)
  cut-admit-cover.bel#ca             no proof found (calls=?)
  sfcps.bel#cpse                     no proof found (calls=?)
  alg-equal-ctxrel.bel#exTRelV       no proof found (calls=21)
  alg-equal-ctxrel.bel#exTRelV'      no proof found (calls=23)
  alg-equal-ctxrel.bel#unique        no proof found (calls=33)
  alg-equal-ctxrel.bel#trans         no proof found (calls=53)
  alg-equal-datatypes-adeq.bel#atrans_c no proof found (calls=91)
  cchoist.bel#weakenEnv1             no proof found (calls=160)
  alg-equal-datatypes-adeq.bel#atrans_s no proof found (calls=59)
  alg-equal-ctxrel.bel#unique'       no proof found (calls=33)
  alg-equal-ctxrel.bel#ceq           no proof found (calls=71)
  alg-equal-datatypes.bel#ref        no proof found (calls=112)
  alg-equal-datatypes-adeq.bel#aeq_str no proof found (calls=59)
  alg-equal-datatypes-adeq.bel#caeq  no proof found (calls=63)
  alg-equal-datatypes-adeq.bel#aeq_wk no proof found (calls=59)
  eq-proof-1.bel#ref                 no proof found (calls=60)
  eq-proof-1.bel#ceq                 no proof found (calls=1278)
  eq-proof-2.bel#ceq                 no proof found (calls=1930)
  eq-proof-crec.bel#ceq              no proof found (calls=1930)
  eq-proof-full-crec.bel#ceq         no proof found (calls=?)
  fol-handbook.bel#ded               no proof found (calls=489)
  fol-handbook.bel#ndhil             no proof found (calls=314)
  conv-untyped.bel#conv              no proof found (calls=?)
  cps-popl-tutorial1.bel#cps         no proof found (calls=35)
  cps-popl-tutorial2-crec.bel#cps    no proof found (calls=29)
  cps-popl-tutorial2.bel#cps         no proof found (calls=35)
  debruijn-1.bel#db2vhoas            no proof found (calls=?)
  jpath.bel#fwd                      no proof found (calls=34)
  jpath.bel#bwd                      no proof found (calls=77)
  Close_Terms.bel#close1               186 calls  97 chars  -> PASS
  Close_Terms.bel#close                 91 calls  50 chars  -> PASS
  From_HOAS_to_DeBruijn.bel#db       no proof found (calls=1649)
  Close_Terms.bel#close'                91 calls  50 chars  -> PASS
  eq-proof-1.bel#trans               no proof found (calls=256)
  From_HOAS_to_DeBruijn.bel#translate no proof found (calls=?)
  alg-equal-datatypes.bel#ceq        no proof found (calls=?)
  Polymorphic_Algorithmic_Equality.bel#ref no proof found (calls=100)
  Parallel_Reduction.bel#subst       no proof found (calls=19)
  Parallel_Reduction.bel#tps         no proof found (calls=40)
  Polymorphic_Algorithmic_Equality.bel#ctp no proof found (calls=?)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#ctx_membership no proof found (calls=34)
  Polymorphic_Algorithmic_Equality.bel#ceq no proof found (calls=?)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#ctx_member no proof found (calls=63)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#reflR no proof found (calls=201)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#refl no proof found (calls=117)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#existsEqV' no proof found (calls=31)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#existsEq' no proof found (calls=24)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#existsEqV no proof found (calls=27)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#existsEq no proof found (calls=28)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#transV no proof found (calls=58)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#det_eqV no proof found (calls=27)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#det_eq no proof found (calls=30)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#det_eqV' no proof found (calls=27)
  Polymorphic_Algorithmic_Equality.bel#trans no proof found (calls=370)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#det_eq' no proof found (calls=30)
  Untyped_Algorithmic_Equality_-_Context_Subsumption.bel#ceq no proof found (calls=?)
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#transR no proof found (calls=48)
  Poplmark.bel#sound                 no proof found (calls=157)
  Poplmark.bel#trans                 no proof found (calls=54)
  Normalization_by_Evaluation.bel#sem_wkn no proof found (calls=65)
  Normalization_by_Evaluation.bel#env_ext no proof found (calls=191)
  Normalization_by_Evaluation.bel#env_wkn no proof found (calls=77)
  Normalization_by_Evaluation.bel#eval no proof found (calls=50)
  Normalization_by_Evaluation.bel#app'    38 calls  146 chars  -> PASS
  Normalization_by_Evaluation.bel#reflect no proof found (calls=41)
  Normalization_by_Evaluation.bel#emp_env no proof found (calls=62)
  Poplmark.bel#complete              no proof found (calls=227)
  Weak_Normalization.bel#bwd_closed  no proof found (calls=75)
  Weak_Normalization.bel#lookup      no proof found (calls=94)
  Normalization_by_Evaluation.bel#nbe no proof found (calls=150)
  Weak_Normalization.bel#weakNorm      223 calls  106 chars  -> PASS
  Untyped_Algorithmic_Equality_-_Context_Relation.bel#ceq no proof found (calls=44)
  algeq-simplified.bel#reflect       no proof found (calls=122)
  Weak_Normalization.bel#main        no proof found (calls=133)
  algeq-simplified.bel#logEq_Monotone no proof found (calls=155)
  Poplmark.bel#refl                  no proof found (calls=78)
  algeq-simplified.bel#logEqSym      no proof found (calls=213)
  algeq-simplified.bel#mstep_app     no proof found (calls=3682)
  algeq-simplified.bel#trans1'        4877 calls  198 chars  -> PASS
  algeq-simplified.bel#closed        no proof found (calls=258)
  algeq-simplified.bel#confluence    no proof found (calls=?)
  algeq-simplified.bel#neutral_mstep no proof found (calls=285)
  algeq-simplified.bel#determinacy'  no proof found (calls=64)
  algeq-simplified.bel#algeqNeuTrans no proof found (calls=3773)
  algeq-simplified.bel#logEqTrans    no proof found (calls=165)
  algeq-simplified.bel#logEqSubSym   no proof found (calls=55)
  algeq-simplified.bel#logEqSubTrans no proof found (calls=133)
  algeq-simplified1.bel#logEq_Monotone no proof found (calls=155)
  algeq-simplified.bel#idLogSub      no proof found (calls=271)
  algeq-simplified1.bel#reflect      no proof found (calls=122)
  algeq-simplified.bel#thm           no proof found (calls=?)
  algeq-simplified.bel#completeness  no proof found (calls=?)
  algeq-simplified1.bel#logEqSym     no proof found (calls=213)
